After 1000games:
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5616, eFunc[terminal]=0.032, aFunc[terminal]=0.032, ratio=1
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3396, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1684, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2680, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2256, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3088, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2788, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1728, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1648, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1708, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=596, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2992, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3332, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=964, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2144, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3024, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2976, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4992, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3432, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1716, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2560, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2684, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2360, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2928, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3296, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1384, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=824, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3188, eFunc[terminal]=0.00251438, aFunc[terminal]=0.00251438, ratio=1
Score=1728, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2384, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1648, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1416, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2460, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2496, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3320, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6564, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1916, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1776, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2480, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1440, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1820, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2148, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2680, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2848, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3488, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
